text,line_type
"of funds to home purchase or rental. Within the totals shown for 1989-90 and 1990-91, States,",both
"under the 1989 CSHA, are able to use on average 12 per cent of funds for home purchase",both
"assistance. However, actual amounts used are not yet available. The amounts. for all years exclude",both
funds used for mortgage and private rent assistance.             .,both
,lineBreak
"(ii) The ACT has been a signatory to the CSHA since 1989-90. For 1987-88 and 1988-89, Common""",both
.wealth funding for public housing was provided to the ACT on a basis comparable to CSHA,both
arrangements.,firstColumnOnly
,lineBreak
(iii) Rounding errors may occur.,firstColumnOnly
,lineBreak
No Commonwealth funding is specifically provided for the up-keep ormaintenance of public housing.,both
This cost is largely met through rent payments from public housing ten'ants. Where total recurrent,both
"costs for a State housing authority (including maintenance) exceed rental income, the 1989 CSHA",both
allows States to use an amount of CSHA capital funding otherwise available to construct or purchase,both
"dwellings, to offset this loss. A similar arrangement applied under the 1984 CSHA.  .",both
,lineBreak
Road Accidents                            (4) What proportion of road acciden.ts are at-,both
"                                                        tributable to (a) driver error, (b) vehicle failure",secondColumnOnly
(Question No. 354)                   and (c) poor toads.,both
,lineBreak
"Mr. Hawker asked the Minister for Land                  (5) What is the breakdown by cause, such as",both
"Transport, upon notice, on 17 October                   alcohol, speed, seat-belts and fatigue, of road ac-",both
1990:                                                   cidents attributable to driver error.,both
,lineBreak
(1) What proportion of persons (a) killed and           (6) What proportion of drivers in each State,both
(b) seriously injured on (i) country roads and (ii)     and Territory undertake driver training after,both
in total in each State and Territory in each year       obtaining their licences.,both
since 1987 came from (A) country and (B) met-,firstColumnOnly
rppolitan areas.                                          (7) What is the relative safety on the basis of,both
"                                                        distance travelled of (a) cars, (b) buses, (c) trucks,",secondColumnOnly
"(2) What proportion of the population in each         (d) motorcycles, (e) commercial airlines, (f) charter",both
State and Territory live in (a) country and (b)         airlines and (g) private airlines.,both
metropolitan areas.,firstColumnOnly
                                                          Mr Robert Brown-The answer to the,secondColumnOnly
(3) What proportion of road fatalities occur          honourable. member's question is as fol-,both
within (a) 10 and (b) 5 kilometres from home.           lows:,both
,lineBreak
                                                          (1) (a) Data on the location crashes are as,secondColumnOnly
                                                        follows:,secondColumnOnly
4992 REPRESENTATIVES 21 December 1990                                     Answers to Questions,pageBreak
,lineBreak
"ROAD FATALITIES, AREA OF CRASH BY STATE, AUSTRALIA 1988",both
,lineBreak
Area of crash              NSW Vic Qld SA WA Tas NT ACT Aust,both
,lineBreak
Urban                      438 338 144 88 91 16                                     4 28 1147,both
Fatalities .              42 49 27 41 39 17                                       8 87              40,both
% of total,firstColumnOnly
597 356 399 127 141 54 47                                   4 1725,both
Rural                      58 51 73 59 61 83 92 13                                                    60,both
Fatalities .,firstColumnOnly
% of total,firstColumnOnly
,lineBreak
"Note: Urban includes all towns with a population of over 50,000.",both
"The above figures are taken from the Federal Office of Road Safety's 'Fatal File', a computerised.",both
database covering all road fatalities in Australia in 1988.                               .,both
"A breakdown of each of these figures by place of residence is not yet a""ailable, but in total, 81 %",both
of urban fatalities and 56% of rural fatalities occurred within 50 kilometres of the relevant drivers,both
place of residence (Part 3 provides further details);,both
(b) There are currently no national data available on the area of residence of the seriously injured.,both
"(2) Population data by area of residence, as defined by the Australian Bureau of Statistics, .are",both
available from the 1986 Census as follows:,firstColumnOnly
,lineBreak
"URBAN-RURAL DISTRIBUTION OF POPULATION, AUSTRALIA, 1986",both
(percent),both
,lineBreak
Area                       NSW Vic Qld SA WA Tas NT' ACT Aust,both
,lineBreak
Urban ...                  88 88 79 85 85 75 72 99                                                    85,both
12 12 21 15. 15 25 28                                       1              15,both
Rural.,firstColumnOnly
,lineBreak
"Source: ABS, Year Book Australia, 1990.                (b) Vehicle Failure was one of the major",both
"(3) Preliminary data, available from the Fed-             factors in 3% of fatal crashes, and",both
,lineBreak
eral Office of Road Safety's 1988 Fatal File show      (c) Road Environment was one of the major,both
"that the distance from home, for all controllers            factors in 8% of fatal crashes.",both
of vehicles involved in fatal crashes was as,firstColumnOnly
"follows:                                               Driver Error is taken to include Alcohol, Drugs,",both
"                                                       Speed, Fatigue, Dangerous Behaviour, Traffic",secondColumnOnly
"(percent)                              Violations, Distractions and III Health.",both
                                                         R~ad Enviro~ment includes permanent and,secondColumnOnly
"Urban Rural Total             temporary features of the road surface, defects in",both
"                                                       the road surface, and obscured vision due to road",secondColumnOnly
Up to 5 kilometres .        37 20 27                   alignment.,both
6 to 10 kilometres          27 19 i9,firstColumnOnly
"11 to 50 kilometres         27 25 25                   (5) According to the Fatal File, Driver Error",both
51 to 100 kilometres         266                       can be broken down as follows:,both
101 to 500 kilometres        2 12 . 12                                    25% of all fatal crashes,both
501- or more kilometres      266                       Alcohol            21 % of all fatal crashes,both
Unknown                      366                       Speed               7% of all fatal crashes,both
Total                      100 100 100                 Fatigue .           5% of all fatal crashes,both
                                                       Dangerous driving,secondColumnOnly
,lineBreak
"In (4) the collection of Fatal File data, judge-      Failure to wear a seatbelt is not considered to",both
"                                                       be the cause of a crash in itself. However, only",secondColumnOnly
ments are made as to the major factors contrib-        70 percent of vehicle occupants killed were known,both
"u,ting to the crash, based. on the examination of      to be wearing a seatbelt, as opposed to general",both
"police reports and coroners' reports. Up to three      wearing rates, which are known to be at least 80",both
"major factors are coded for each crash, to allow       percent across the country.     .",both
for the non-exclusive nature of factors leading to,both
road crashes. According to these judgements:             (6) There are no national figures currently,both
                                                       available on the numbers of drivers undertaking,secondColumnOnly
{a) Driver Error was one of the major factors          driver training after obtaining their licences.,both
in 87% of fatal crashes,firstColumnOnly
                                                       (7) Crash rates for various modes within land,secondColumnOnly
                                                       and air transport are listed in Attachment I.,secondColumnOnly
Answers to Questions              21 December 1990 REPRESENTATIVES 4993,pageBreak
,lineBreak
Attachment I,firstColumnOnly
,lineBreak
"FATAL CRASH RATES BY MODE, AUSTRALIA",both
,lineBreak
                                                                   Fatal Crashes    Fatalities per,secondColumnOnly
Fatal               per 100 million    100 million,both
Year Crashes Fatalities                  VKT                        VKT,both
,lineBreak
Buses. . . . ; .              88                  36           46   2.51             3.21,both
Articulated Trucks            88                268          332    6.99             8.66,both
Rigid Trucks. . .             88                165          179    2.10             2.28,both
Motorcycles . . .             88                307          325   15.96            16.89,both
Cars and derivatives          88               1709         1989    1.23             1.43,both
All Vehicles . . .            88               2026         2336    1.32             1.52,both
Scheduled Airlines        78-87                                                      0.00,both
(Domestic)                78-87                   o            o      o              9.47,both
General Aviation          '78-87                                                    17.50,both
                                                  32           73   4.15,secondColumnOnly
Charter .. . . .                                97         234    7.25,both
Private/Business .,firstColumnOnly
,lineBreak
Notes:,firstColumnOnly
1. A fatal crash of a particular vehiCle type is a fatal crash involving at least one of that vehicle,both
type and no pedestrians.                                      ',both
2. Buses includes all bus types and types of bus/coach services.,both
3. Rates for general aviation have. been calculated from rates per hours flown by assuming an,both
average speed of 250 kilometres per hour.,firstColumnOnly
4. Figures for airlines are cumulative total for 10 years.,both
VKT Vehicle kilometres travelled,firstColumnOnly
Sources,firstColumnOnly
"ABS-Survey of Motor Vehicle Usage, 1988",firstColumnOnly
Federal Office of Road safety-Fatal File 1988,firstColumnOnly
"Survey of Accidents to Australian Civil Aircraft, BASI, 1987",both
,lineBreak
Telecommunications                          for the Government's policy decision which will,both
                                                     form the basis for the legislation.,secondColumnOnly
(Question No. 355),firstColumnOnly
,lineBreak
Mr N. A. Brown asked the Minister for                (3) Yes. Licences will provide a choice of three,both
"Transport and Communications, upon                   cellular mobile telephone services for customers.",both
"notice, on 18 October 1990:",firstColumnOnly
                                                       (4) I have directed Austel to implement its,secondColumnOnly
(1) When will legislation be introduced to im-     recommendations for liberalisation of the com-,both
plement the Government's recent decisions on         mon interest group policy in the use of private,both
telecommunications.                                  networks. The Government has decided that all,both
                                                     restrictions on resale of domestic and inter-,secondColumnOnly
(2) What will be the principal provisions of       national telecommunications capacity currently,both
that legislation.                                    contained in the Telecommunications Act 1989,both
                                                     will be removed. So as to enhance competitive-,secondColumnOnly
"(3) Will the Government allow additional           ness, Austel will be asked to report 011 appropri-",both
Hcences for cellular mobile telephone services; if   ate terms and conditions to apply to resale and,both
"so, how many.                                        the extent to which resellers should be permitted",both
                                                     to establish their own switching capacity.,secondColumnOnly
(4) Will the Government adopt the recommen-,firstColumnOnly
dations of the Australian Telecommunications           (5) The tender for the second telecommunica-,both
Authority concerning private telecommunications      tions carrier will be conducted in conjunction,both
networks and the resale of leased telecommuni-       with the sale of Aussat. The Minister for Finance,both
cations capacity.                                    and the Minister for Transport and Communica-,both
                                                     tions will be jointly responsible for the selection,secondColumnOnly
(5) What arrangements will be made for the         process for the second telecommunications car-,both
"selection of the proposed competitor for Telecom     rier, including the sale of Aussat. This process is",both
and when will the competitor be chosen.              to be completed before 31 December 1991.,both
,lineBreak
Mr Beazley-The answer to the                                        Sale of Aussat,both
honourable member's question is as fo1-,firstColumnOnly
lows:                                                                   (Question No. 356),both
,lineBreak
(1) A Bill to amend the Aussat Act 1984 WaS          Mr N. A. Brown asked the Minister for,both
"introduced on 8 November 1990. Other legisla-        Transport and Communications, upon",both
"tion will be introduced as soon as practicable       notice, on 18 October 1990:",both
during 1991.,firstColumnOnly
                                                       (1) When will the decision to sell Aussat be put,secondColumnOnly
(2) The legislation is yet to be drafted. I refer  into effect.,both
the honourable member to my comments in the,firstColumnOnly
House of Representatives of 8 November 1990,firstColumnOnly
4994 REPRESENTATIVES 21 December 1990                                   Answers to Questions,pageBreak
,lineBreak
(2) What method will be used to implement           ance of pathology undertakings. Applications for,both
the decision on the sale of Aussat.                    the acceptance of approved pathology authority,both
                                                       and approved pathology practitioner undertak-,secondColumnOnly
(3) Will the purchase of Aussat carry with it       ings were submitted to the Commission and were,both
any rights for the purchaser to engage in the          accepted with effect-from 3 July and 6 July 1990,both
provision of (a) telecommunications services or        respectively.,both
"(b) PAY TV; if so, (i) what rights and (ii) how",firstColumnOnly
will those rights be expressed.                        In spite of the advice provided by the Com-,both
"                                                       mission, which included contact telephone num-",secondColumnOnly
"Mr Beazley-The answer to the hon-                    bers for laboratory accreditation enquiries,",both
ourable member's question is as follows:               Bunbury Pathology failed to seek accreditation,both
                                                       for their pathology laboratory until 23 August,secondColumnOnly
(1) The sale of Aussat is to be completed before    1990. The Health Insurance Act 1973 Provides,both
31 December 1991.                                      that Medicare benefits are not payable if a labo-,both
                                                       ratory is not. accredited and information about,secondColumnOnly
(2) Aussat will be sold in conjunction with the     this legislative requirement is included in Com-,both
tender for the licence for the second telecommun-      mission literature which accompanies approved,both
"ications carrier, with buyers required to meet         pathology authority and approved pathology",both
specific terms and conditions.                         practitioner docurnentation. The application to,both
                                                       my Department for accreditation of the labora-,secondColumnOnly
(3)                                                 tory was lodged on 23 August 1990 and approved,both
(a) Yes. (i) the second carrier will be given full  from that date.  ',both
rights of access to all domestic and international,both
telecommunications markets (ii) by licence con-          (2) (a) Approval was granted from the date of,both
dition.                                                lodgment ~nd was not withheld.,both
(b) Yes. (i) in the event that the Government,firstColumnOnly
decides to lift the moratorium the party acquiring       2 (b) The Health Insurance Act 1973 prevents,both
Aussat will be required to provide capacity for        backdating accreditation.,both
Pay-TV (ii) by licence condition.,firstColumnOnly
                                                         (3) A reply to the honourable member's corre-,secondColumnOnly
Pathology Services                       spondence was signed and mailed on 25 October,both
                                                       1990.,secondColumnOnly
(Question No. 362),firstColumnOnly
                                                             Health Service Staff Selllinar,secondColumnOnly
Mr Prosser asked the Minister for,firstColumnOnly
"Community Services and Health, upon                                     (Question No. 365)",both
"notice, on 6 November 1990:",firstColumnOnly
                                                         Dr Bob Woods asked the Minister for,secondColumnOnly
"(1) Has his attention been drawn to the situa-       Community Services and Health, upon",both
"tion confronting Bunbury Pathology, a new busi-        notice, on 7 November 1990:",both
ness which has been financially disadvantaged by,both
certain procedural matters involving the Health          Was a three-day retreat for Australian Govern-,both
"Insurance Commission.                                  ment health service staff held at Lome, Vic., from",both
"                                                       13 to 15 June 1990; if so, (a) what was the total",secondColumnOnly
"(2) Is Bunbury Pathology and its adrninistra-        cost of the retreat, (b) were all accommodation,",both
"tion competent and otherwise suitable to carry         meals, drinks and staff allowances paid for by the",both
"out the usual range of pathology services; if so,      Government, (c) were only nine hours of the",both
(a) why was approval for .Medicare payments to         three days spent in seminars and (d) did a health,both
Bunbury Pathology for its first threl( weeks of        service. director describe. the retreat in a memo-,both
operation withheld and (b) will he make special        randum to staff as not being a heavy course of,both
"provision for those payments to be made.               lectures and exercises but ""in other words fun for",both
"                                                       all"".",secondColumnOnly
(3) When will he reply to my urgent facsimile,firstColumnOnly
"message on this matter, dated August 1990.               Mr Howe-The answer to the honour-",both
                                                       able member's question is as follows:,secondColumnOnly
Mr .Howe-The answer to the honour-,firstColumnOnly
able member's question is as follows:                  Yes.,both
,lineBreak
"(1) I am aware of difficulties experienced by        (a) $16,076~75.",both
Bunbury Pathology. I understand Bunbury Pa-,firstColumnOnly
thology commenced business late' in July 1990.           (b) The Department of Community Services,both
Discussions were held between the Health Insur-        and Health met accommodation and meal costs,both
ance Commission and Bunbury Pathology in May           and staff received the normal incidentals allow-,both
1990 on the requirements associated with the           ance while away from home. Officers paid for,both
payment of Medicare benefits for pathology serv-       their own drinks except for some associated with',both
ices. The Commission advised a requirement to          the evening meals. They also met any other costs,both
apply to my Department for accreditation of the        which they.incurred.,both
laboratory; the National Association of Testing,firstColumnOnly
Associations for inspection of the laboratory            (c) The retreat commenced on the evening of,both
premises; and to the Commission for the accept-        13 June and ended at 1.30 p.m. on 15 June.,both
"                                                       During that time, there were six scheduled ses-",secondColumnOnly
Answers to Questions.  21 December 1990 REPRESENTATIVES 4995,pageBreak
,lineBreak
"sions of course work which were programmed to               - ,Queensland has sought permission to in-",both
take nine hours. Some sessions went longer than               clude all the Model Code's provisions,both
scheduled.                                                     into the Queensland Government,both
                                                               Gazette so that local governments can,secondColumnOnly
(d) This wording was used in an internal doc-                adopt and adapt the Model Code to their,both
ument which went to a number of very junior                    local area.,both
clerical staff. It was felt necessary to put the,both
training in a positive light in order that they             - Victoria is to review its 1987 Residen-,both
approach it with confidence and enthusiasm.                    tial Development Provisions in the light,both
                                                               of the 1990 Edition 2 of the Model Code.,secondColumnOnly
Residential Development Code,firstColumnOnly
                                                            - Western Australia will review its R-codes,secondColumnOnly
(Question No. 371)                          to align with the Model Code.,both
,lineBreak
Mr Prosser asked the Minister repre-                      - South Australia has been a leading State,both
"senting the Minister for Industry, Tech-                       in cocsponsoring the review and adop-",both
"nology and Commerce, upon notice, on                           tion of the Model Code by its metropol-",both
7 November 1990:                                               itan councils.,both
,lineBreak
"(1) How many local government councils have               - New South Wales, via the Triple-R Pro-",both
"adopted the Australian Model Code for Residen-                 gram, is encouraging local governments",both
tial Development.                                              throughout the State to review their reg-,both
                                                               ulations in the light of the Model Code.,secondColumnOnly
(2) Are the remaining councils expected to' adopt,both
the Code in the near future.                                - Tasmania is supporting metropolitan,both
"                                                               councils in Hobart, Launceston and",secondColumnOnly
(3) What is being done to encourage councils                 Northern Region to adopt the Model,both
to adopt the Code.                                             Code's provisions.,both
,lineBreak
"Mr Crean-The Minister for Industry,                (3) Encouragement for councils to adopt the",both
Technology and Commerce has provided                 Model  Code  is  being  provided  at  a  number  of.,both
the following. answer to. the honourable,firstColumnOnly
member's question:                                   k~~,both
,lineBreak
(1) The Australian Model Code fot Residential      - The Commonwealth is funding and support-,both
Development was launched by Barry Jones in             ing the Triple-R Program of Assistance to,both
late August 1989.                                      Local Governmertts for the Review of Resi-,both
                                                       dential Development Regulations.,secondColumnOnly
It is currently being used as a key reference for,both
"the review of residential development regulations    - State funding, cooperation and direction to",both
by 51 councils throughout Australia under the          its authorities and local governments through:,both
1989/90 Triple-R Program. A further 40 to 50,firstColumnOnly
councils are to be assisted under 1990/91 TripIe-           - management and participation on the,both
R Program with similar numbers expected in                     State Management Committees for the,both
Year 3 (1991/92).                                              Triple-R Program,both
,lineBreak
In addition to these councils:                            - review of State regulations such as. the,both
- Ringwood Council in Victoria has already                   Residential Development Provisions in,both
                                                               Victoria and the R-codes in Western,secondColumnOnly
adopted a new code completely based on the                Australia.,both
Model Code.,firstColumnOnly
- Albert Shire Council in Queensland has con-      - Industry and professional association support,both
structed a 5000 lot subdivision in Residential    for councils to adopt the. Model Code through:,both
A Zoning completely in accordance with the,firstColumnOnly
Model Code.                                            - active lobbying and participation on,both
- Queensland Government has provided ad-                     State Management Committees for the,both
vice to all its local governments on how they             Triple-R Program by representatives of:,both
can adopt the Model Code.,firstColumnOnly
(2) Councils throughout Australia are expected     - Housing Industry Association,both
to adopt the Model Code over the next three to       - Urban Development Institute of Australia,both
five- years as:,firstColumnOnly
- Triple-R Program funding is extended to en-      - Master Builders Association,both
able councils to review their existing codes.,both
- State governments encourage and facilitate       - Royal Australian Planning Institute and Lo-,both
the adoption of the Model Code's structure        cal Government Planners Association,both
and requirements into State legislature and,both
"practices.                                      - Institution of Engineers, Australia and Local",both
                                                       Government Engineers Association.,secondColumnOnly
,lineBreak
                                                       I will be launching Edition 2 of the Model,secondColumnOnly
"                                                     Code at Robina, Albert Shire, Queensland on",secondColumnOnly
                                                     14 December 1990 at a site .where .cost-effective,secondColumnOnly
                                                     residential development techniques approved by,secondColumnOnly
                                                     the Model Code for such things as road and,secondColumnOnly
"                                                     drainage networks, public utilities and public open",secondColumnOnly
                                                     space can be demonstrated.,secondColumnOnly
4996 REPRESENTATIVES 21 December 1990                                     Answers to Questions,pageBreak
,lineBreak
Imports from Singapore                                   New South Wales,both
,lineBreak
(Question No. 377)                 Auburn        525   Liverpool       568,both
                                                                    672   Marrickville    844,secondColumnOnly
Mr Ferguson asked the Minister repre-               Bankstown           Newcastle       186,both
"senting the Minister for Industry, Tech-              Baulkham Hills 422  Parramatta      623",both
"nology and Commerce, upon notice, on 7                Blacktown     787   Penrith .       598",both
November 1990:                                        Blue Mountains 119  Randwick        553,both
                                                      Botany        320   Rockdale        423,secondColumnOnly
                                                                    193   South Sydney    371,secondColumnOnly
(1) Does a five per cent tariff differential apply  Burwood             Strathfield     132,both
to imports from Sing\lpore.                           Campbelltown 393    Sydney          204,both
                                                      Canterbury    831   Waverley        363,secondColumnOnly
                                                                    2187  Wollongong      656,secondColumnOnly
(2) Was a display of furniture produced by          Fairfield     265   Woollahra       202,both
thirteen Singaporean manufacturers at the Inter-      Holroyd,both
national Trade Development Centres in Sydney          Hurstville    237                   433,both
and Melb.ourne in early 1990 funded by the Aus-                     165                   189,both
tralian International Development Assistance Bu-      Kogarah                             107,both
reau.                                                 Lake Macquarie 198                  603,both
                                                                                          351,secondColumnOnly
(3) Was a similar promotional display in 1988                     Victoria              242,both
funded by the Australian Government.                                                      323,both
                                                      Berwick       399   Knox            363,secondColumnOnly
                                                      Box Hill      124   Lillydale       135,secondColumnOnly
(4) Are imports from Singapore accorded pref-       Broadmeadows 625    Malvern         239,both
"erential treatment; if so, why.                       Brunswick     269   Melbourne       325 .",both
                                                      Camberwell    167   Moorabbin       141,secondColumnOnly
(5) What level of market penetration do Sin-        Caulfield     243   Northcote      1118,both
gaporean products exert in the areas of (a) ergon-    Coburg        229   Nunawading      228,both
"omic office chairs, (b) wooden knockdown              Collingwood 100     Oakleigh        580",both
bedroom and kitchen settings and (c) brass and        Corio         141   Prahran         223,both
glass lounge furniture.                               Cranbourne    176   Preston         475,both
                                                                          Richmond        136,secondColumnOnly
"Mr Crean-The Minister for Industry,                 Croydon       103   Ringwood        186",both
Technology and Commerce has provided                  Dandenong     618   Springvale      195,both
the following answer to the honourable                Diamond Valley 110  St. Kilda       .150,both
member's question:                                    Doncaster     325   Waverley        217,both
                                                      Essendon      178   Werribee        112,secondColumnOnly
                                                      Fitzroy       140   Whittlesea      154,secondColumnOnly
(1) Imports from Singapore would be eligible                      254                   171,both
to enter at the Develqping Country rate which is      Frankston     165                   121,both
5 percentage points lower than the general rate.      Heidelberg                          620,both
                                                                                          312,secondColumnOnly
"(2) Yes, in Melbourne on 15-17 May 1990 and                       Queensland            187",both
in Sydney on 22-24 May 1990.                                                              223,both
                                                      Albert         374  Moreton         902,secondColumnOnly
"(3) Yes, in Sydney on 27-29 April 1988 and in       Caboolture     146  Mulgrave        104",both
Melbourne 4-6 May 1988.                               Cairns         123  Pine Rivers     283,both
                                                      City Hall     2913  Re.qcliffe     1315,secondColumnOnly
(4) See answer to question 1.                         Gold Coast     484  Red1!ind        402,both
                                                      Ipswich        197  Toowoomba       123,secondColumnOnly
(5) Detailed information on the level of market     Logan          508  Townsville      517,both
penetration for the Singaporean products nomi-        Maroochy       183,both
nated are not available from official statistics.     Armadale,both
                                                      Bassendean,secondColumnOnly
Naturalisation Certificates                 Bayswater     Weste~ Australia,both
                                                      Canning,secondColumnOnly
(Question No. ~89)                 Cockburn      348   Mundaring.,both
                                                      Fremantle     306   Nedlands,secondColumnOnly
Mr Hollis asked the Minister for Im-                Geraldton     192   Perth,both
"migration, Local Government and Ethnic                Gosnells      524   Rockingham",both
"Affairs, upon notice, on 8 November 1990:             Kalamunda     294   Roebourne",both
                                                      Kwinana,secondColumnOnly
How many certificates of naturalisation were          Melville      170   South Perth,both
                                                                    105   Stirling,secondColumnOnly
conferred in (a) 1988 and (b) 1989 in each local                    518   Subiaco,both
government area in which more than 100 certifi-,firstColumnOnly
cates were conferred.  .                                            331   Swan,both
                                                                    113   Wanneroo,secondColumnOnly
Mr Hand-The answer to the honour-,firstColumnOnly
able member's question is as follows:                               554,both
,lineBreak
The numbers of certificates of Australian citi-                   South Australia,both
zenship conferred in these areas are:,firstColumnOnly
                                                      Campbelltown  132   Noarlunga,secondColumnOnly
                                                      Elizabeth     134   Port Adelaide,secondColumnOnly
(a) in 1988                                           Enfield       212   Salisbury,both
Answers to Questions               21 December 1990 REPRESENTATIVES 4997,pageBreak
,lineBreak
Happy Valley 122      Tea Tree Gully 323 Heidelberg       224   Williamstown 142,both
Marion       297      West Torrens 126,firstColumnOnly
Mitcham      207      Woodville     170                   Queensland,both
,lineBreak
Munno Para 114                             Albert          634  Maroochy         300,both
                                                           101,secondColumnOnly
Tasmania                      Beaud.esert     262  Moreton          214,both
Caboolture      162  Mulgrave         196,both
Launceston   115                           Cairns          180  Noosa,both
Caloundra      3667  Pine Rivers      106,both
                                                           704                   282,secondColumnOnly
Northern Territory            City Hall       255  Redcliffe        291,both
                                                           652,secondColumnOnly
Darwin       519                           Gold Coast           Redland          307,both
Ipswich              Toowoomba 132,both
(b) in 1989                                Logan                Townsville       203,both
,lineBreak
New South Wales                              Western Australia,both
,lineBreak
Ashfield     391      Liverpool      557   Armadale       462   Melville          702,both
Auburn       619      Manly          196   Bassendean                             205,both
Bankstown    416      Marrickville   942   Bayswater      469   Mundaring         134,both
Mosman         194   Bunbury        227   Nedlands          671,both
Baulkham Hills 688    Newcastle      381   Canning        150   Perth             122,both
Blacktown    1545     North Sydney   428   Cockburn                               388,both
Blue Mountains 285    Parramatta    1019   FremantIe      812   Port Heoland      199,both
Penrith       1095   Geraldton      371   Rockingham        330,both
Botany       427      Randwick       956   Gosnells       225   Roebourne        1485,both
Burwood      170      Rockdale       689   Kalamunda                              130,both
Campbelltown 788      Ryde           946   Kwinana        105   South Perth       383,both
Shellharbour   269   Mandurah       722   Stirling         1838,both
Canterbury 1010       Shoalhaven     152                  437   Subiaco,both
Drummoyne 109         South Sydney   500,firstColumnOnly
Fairfield    2645     Sutherland     647                  173   Swan,both
Tweed          150                  144   Wanneroo,both
Gosford      405      Warringah      961,firstColumnOnly
Hastings     126      Waverley       611,firstColumnOnly
Hawkesbury   196      Willoughby     378                  South Australia,both
Wollongong     905,firstColumnOnly
Holroyd      708      Woollahra      377   Burnside       149   Noarlunga        473,both
Wyong          253   Campbelltown 19~     Port Adelaide 221,both
Hornsby      655                           Elizabeth      226   Salisbury        857,both
Hurstville   385,firstColumnOnly
Kogarah      205                           Enfield        400   Tea Tree Gully 497,both
Happy Valley 172     Unley            112,both
Ku-Ring-Gai 681                            Marion         324   West Torrens 188,both
Lake Macquarie 354,firstColumnOnly
Lane Cove    185                           Mitcham        190   Whyalla          103,both
Munno Para 166       Woodville        330,both
Leichhardt   177,firstColumnOnly
,lineBreak
Victoria                                     Tasmania,both
,lineBreak
Altona       142      Keilor        485 Launceston        153,both
Kew,firstColumnOnly
Berwick      584      Knox          165                   Northern Territory,both
Box Hill     316      Lillydale     961,firstColumnOnly
Brighton     127      Malvern       350    Alice Springs  134   Darwin           626,both
Melbourne,firstColumnOnly
Broadmeadows 993      Moorabbin     156             Closure of Medicare Offices,both
Brunswick    326      Mordialloc    585,firstColumnOnly
Camberwell   400      Mornington    653                    (Question No. 398),both
Caulfield    436      Morwell       138,firstColumnOnly
Northcote            Dr Bob Woods asked the Minister for,both
"Chelsea      167      Nunawading    200 Community Services and Health, upon",both
"Coburg       245      Oakleigh      139 notice, on 12 November 1990:",both
Collingwood 219       Prahran       385,firstColumnOnly
Corio        174      Preston       496      (1) Has a decision been made to close the,both
Cranbourne   409      Richmond      909    Medicare and Medibank Private offices in Leeton,both
"Croydon      342      Ringwood      309    and Narrandera, NSW; if so, (a) is the nearest",both
Dandenong 1019        Sandringham   540    Medicare office in Griffith and (b) what are the,both
Diamond Valley 233    Sherbrooke    432    benefits of the closures.,both
Springvale,firstColumnOnly
Doncaster    810      St Kilda      258 (2) Have the closures of 13 Medicare offices in,both
"Eltham       156      Sunshine      127 city, suburban and regional areas been made or",both
"Essendon     363      Waverley      160 decided; if so, (a) have alternative agencies been",both
Fitzroy      238      Werribee      1537 offered and (b) what savings will result from the,both
Flinders     160      Whittlesea    436 closures.,both
Footscray    699                     963-,firstColumnOnly
Frankston    670                    1021     Mr Howe-The answer to the honour-,both
Hastings     115                     247   able member's question is as follows:,both
,lineBreak
Hawthorn     119                    608 (1) Yes.,both
4998 REPRESENTATIVES 21 December 1990                 Answers to Questions,pageBreak
,lineBreak
"(a) Yes. However, the Commission is consid-         Victorian Prostitutes Collective to employ a re-",both
"ering the introduction of a claims collection fa-     search worker; if so, (a) why, (b) what will be",both
cility in Leeton and Narrandera to provide a fast     researched and (c) what wilJ the results of the,both
path for the delivery of claims to a Commission       research be used for.,both
processing centre for priority processing and pay-,both
ment of benefits.                                       Mr Howe-The answer to the honour-,both
                                                      able member's question is as follows:,secondColumnOnly
"(b) A projected saving of $120,750 per annum.",firstColumnOnly
(2) Yes.                                              Under the HIV/AIDS Matched Funding Pro-,both
"(a) No. However, the close proximity of other       gram, Commonwealth allocations are matched on",both
branch offices was taken into consideration be-       a dollar-for-dollar basis by the States and Terri-,both
fore any decision was made to close these offices.    tories. States and Territories are required to ex-,both
"(b) Savings of approximately $1 milJion per         pend these funds, which are used for a range of",both
"year will result.                                     activities including education, prevention, re-",both
"                                                      ~earch, treatment and care, in accordance with",secondColumnOnly
Medicare Benefits Schedule                   guidelines agreed between the Commonwealth and,both
                                                      State Governments. The States and Territories,secondColumnOnly
(Question No. 399)                 have full responsibility for the allocation and,both
                                                      administration of Matched Funds.,secondColumnOnly
'Dr Bob Woods asked the Minister for,firstColumnOnly
"Community Services and Health, upon                     The Victorian Department of Health has ad-",both
"notice, on 12 November 1990:                          vised me that, although Victoria does fund the",both
                                                      Victorian Prostitutes Collective under the,secondColumnOnly
"Were the majority of medical practitioners in       Matched Funding Program, the funding is not",both
South Australia not advised of the changes to the     provided to employ a research worker.,both
fees and item numbers of the Medicare Benefits,firstColumnOnly
Schedule prior to their taking effect on 1 Novem-                    ABC: Home Show,both
"ber 1990; if they were not, why not.",firstColumnOnly
                                                                         (Question No. 406),secondColumnOnly
Mr Howe-The answer to the honour-,firstColumnOnly
able member's question is as follows:                   Mr Ewen Cameron asked the Minister,both
"                                                      for Transport ap.d Communications, upon",secondColumnOnly
"Many medical practitioners in South Australia,      notice, on 13 November 1990:",both
