text,first_column,second_column,line_type,ordering
"(a) No. However, the close proximity of other       gram, Commonwealth allocations are matched on","(a) No. However, the close proximity of other","gram, Commonwealth allocations are matched on",both,6808
branch offices was taken into consideration be-       a dollar-for-dollar basis by the States and Terri-,branch offices was taken into consideration be-,a dollar-for-dollar basis by the States and Terri-,both,6809
fore any decision was made to close these offices.    tories. States and Territories are required to ex-,fore any decision was made to close these offices.,tories. States and Territories are required to ex-,both,6810
"(b) Savings of approximately $1 milJion per         pend these funds, which are used for a range of",(b) Savings of approximately $1 milJion per,"pend these funds, which are used for a range of",both,6811
"year will result.                                     activities including education, prevention, re-",year will result.,"activities including education, prevention, re-",both,6812
Medicare Benefits Schedule                   guidelines agreed between the Commonwealth and,Medicare Benefits Schedule,guidelines agreed between the Commonwealth and,both,6814
(Question No. 399)                 have full responsibility for the allocation and,(Question No. 399),have full responsibility for the allocation and,both,6816
"Community Services and Health, upon                     The Victorian Department of Health has ad-","Community Services and Health, upon",The Victorian Department of Health has ad-,both,6819
"notice, on 12 November 1990:                          vised me that, although Victoria does fund the","notice, on 12 November 1990:","vised me that, although Victoria does fund the",both,6820
"Were the majority of medical practitioners in       Matched Funding Program, the funding is not",Were the majority of medical practitioners in,"Matched Funding Program, the funding is not",both,6822
South Australia not advised of the changes to the     provided to employ a research worker.,South Australia not advised of the changes to the,provided to employ a research worker.,both,6823
Schedule prior to their taking effect on 1 Novem-                    ABC: Home Show,Schedule prior to their taking effect on 1 Novem-,ABC: Home Show,both,6825
able member's question is as follows:                   Mr Ewen Cameron asked the Minister,able member's question is as follows:,Mr Ewen Cameron asked the Minister,both,6829
"Many medical practitioners in South Australia,      notice, on 13 November 1990:","Many medical practitioners in South Australia,","notice, on 13 November 1990:",both,6831
"of the Medicare Benefits Schedule changes prior       (1) Is the ABC television program ""The Home",of the Medicare Benefits Schedule changes prior,"(1) Is the ABC television program ""The Home",both,6833
"to 1 November 1990. This was due to the failure            Show"" subsidised by individuals or bodies",to 1 November 1990. This was due to the failure,"Show"" subsidised by individuals or bodies",both,6834
of the printer to meet the delivery date of                who may gain commercial advantage from,of the printer to meet the delivery date of,who may gain commercial advantage from,both,6835
"19 October 1990 for distribution of the amend-             their involvement with the program; if so,",19 October 1990 for distribution of the amend-,"their involvement with the program; if so,",both,6836
"ments, despite assurances to my Department by              (a) which individuals or bodies and (b) what","ments, despite assurances to my Department by",(a) which individuals or bodies and (b) what,both,6837
the printer that production was ahead of schedule.         sum does each contribute.,the printer that production was ahead of schedule.,sum does each contribute.,both,6838
"Responsibility for the letting of contracts to the  (2) Did another ABC television program, ""The",Responsibility for the letting of contracts to the,"(2) Did another ABC television program, ""The",both,6840
"private sector relating to the production and dis-         Investigators',' regularly highlight cases of",private sector relating to the production and dis-,"Investigators',' regularly highlight cases of",both,6841
"tribution of publications such as the Medicare             shoddy dwelling construction before ""The",tribution of publications such as the Medicare,"shoddy dwelling construction before ""The",both,6842
"Benefits Schedule rests with the Australian Gov-           Home Show"" commenced.",Benefits Schedule rests with the Australian Gov-,"Home Show"" commenced.",both,6843
"ment lodged ""camera ready"" copy of the                (3) Has ""The Investigators"" dealt with any cases","ment lodged ""camera ready"" copy of the","(3) Has ""The Investigators"" dealt with any cases",both,6845
"1 November amendments with AGPS on                         of shoddy dwelling construction since ""The",1 November amendments with AGPS on,"of shoddy dwelling construction since ""The",both,6846
"12 September 1990, which was sufficient time to            Home Show"" commenced.","12 September 1990, which was sufficient time to","Home Show"" commenced.",both,6847
allow printing and distribution to medical prac-,allow printing and distribution to medical prac-,NA,both,6848
titioners in all States prior to the 1 November       (4) Did ABC Television in Sydney agree in a,titioners in all States prior to the 1 November,(4) Did ABC Television in Sydney agree in a,both,6849
1990 date of effect.                                       telephone conversation with the Chairperson,1990 date of effect.,telephone conversation with the Chairperson,both,6850
The performance of the printer in terms 'of his          (BARG) in Sydney to film BARG members,The performance of the printer in terms 'of his,(BARG) in Sydney to film BARG members,both,6852
contractual obligations was completely unsatis-            displaying banners referring to BARG's De-,contractual obligations was completely unsatis-,displaying banners referring to BARG's De-,both,6853
"factory, and my Department has already advised             fective Homes Exhibition on 28 October","factory, and my Department has already advised",fective Homes Exhibition on 28 October,both,6854
"AGPS that that particular printer wilJ not be               1990; if so, (a) was the venue to be outside",AGPS that that particular printer wilJ not be,"1990; if so, (a) was the venue to be outside",both,6855
acceptable for future printing contracts associated        the premises of the NSW Royal Commission,acceptable for future printing contracts associated,the premises of the NSW Royal Commission,both,6856
"with the Medicare Benefits Schedule.                       into the Building Industry at Circular Quay,",with the Medicare Benefits Schedule.,"into the Building Industry at Circular Quay,",both,6857
Victorian Prostitutes Collective                    BARG answering machine on 25 October,Victorian Prostitutes Collective,BARG answering machine on 25 October,both,6859
(Question No. 402)                      (c) given that the event was covered by all,(Question No. 402),(c) given that the event was covered by all,both,6861
"Dr Bob Woods asked the Minister for                      Sydney, why did the ABC cancel its cover-",Dr Bob Woods asked the Minister for,"Sydney, why did the ABC cancel its cover-",both,6863
"Community Services and Health, upon                        age.","Community Services and Health, upon",age.,both,6864
Has a combined Commonwealth and Victorian                bulletin on 8 October 1990 make any refer-,Has a combined Commonwealth and Victorian,bulletin on 8 October 1990 make any refer-,both,6867
"Government grant of $40,200 been made to the               ence in its coverage of proceedings before","Government grant of $40,200 been made to the",ence in its coverage of proceedings before,both,6868
the NSW Royal Commission into the Build- (6) The ABC has no knowledge as to whether,the NSW Royal Commission into the Build- (6) The ABC has no knowledge as to whether,NA,both,6871
ing Industry to unconscionable building as-         the contracts shown correspond with the,ing Industry to unconscionable building as-,the contracts shown correspond with the,both,6872
"sociation contracts, a topic of the proceedings;    ""unconscionable contracts"".","sociation contracts, a topic of the proceedings;","""unconscionable contracts"".",both,6873
(6) Do some of the contracts displayed at the       tration and was supplied by the Housing In-,(6) Do some of the contracts displayed at the,tration and was supplied by the Housing In-,both,6876
"beginning of ""The Home Show"" correspond             dustry Association at the request of the ABC","beginning of ""The Home Show"" correspond",dustry Association at the request of the ABC,both,6877
with the unconscionable contracts referred to       when seeking general pictures or documents,with the unconscionable contracts referred to,when seeking general pictures or documents,both,6878
"in part (5); if so, is the display of those         relating to homes as a backdrop only.","in part (5); if so, is the display of those",relating to homes as a backdrop only.,both,6879
"(7) Will he take steps to ensure that ABC tele-     tralian viewers and there are no plans, for",(7) Will he take steps to ensure that ABC tele-,"tralian viewers and there are no plans, for",both,6883
"vision comprehensively draws to the atten-     that role to diminish. Inde'ed, the creation of",vision comprehensively draws to the atten-,"that role to diminish. Inde'ed, the creation of",both,6884
"tion of the viewing public shoddy dwelling     ""The Home Show"" represents a further com-",tion of the viewing public shoddy dwelling,"""The Home Show"" represents a further com-",both,6885
construction.                                  mitment to consumer information program-,construction.,mitment to consumer information program-,both,6886
Mr Beazley-The answer to the                      attention to shoddy housing construction in,Mr Beazley-The answer to the,attention to shoddy housing construction in,both,6888
"information provided by the Australian              its information programs, both in responding",information provided by the Australian,"its information programs, both in responding",both,6890
"Broadcasting Corporation, is as follows:            and useful information of a non~controver","Broadcasting Corporation, is as follows:",and useful information of a non~controver,both,6892
receipt by the co-production company            Civil and Political Rights: Racial,receipt by the co-production company,Civil and Political Rights: Racial,both,6895
Famous Artists International of funds from                 Discrimination,Famous Artists International of funds from,Discrimination,both,6896
duction Company of the Law Foundation of                              (Question No. 409),duction Company of the Law Foundation of,(Question No. 409),both,6899
selves gain commercial advantage from their           Mr Hollis asked the Minister represent-,selves gain commercial advantage from their,Mr Hollis asked the Minister represent-,both,6901
association with the program. The Depart-      ing the Minister for Foreign Affairs and,association with the program. The Depart-,ing the Minister for Foreign Affairs and,both,6902
"ment of Industry, Technology and Com-          Trade, upon notice, on 13 November","ment of Industry, Technology and Com-","Trade, upon notice, on 13 November",both,6903
merce also provided funds and research         1990:,merce also provided funds and research,1990:,both,6904
"(2) Yes. ""The Investigators"" regularly high-          Did his predecessor state in his answer to ques-","(2) Yes. ""The Investigators"" regularly high-",Did his predecessor state in his answer to ques-,both,6906
"lighted cases of shoddy dwelling construction  tion No. 475 (Hansard, 3 November 1983, page",lighted cases of shoddy dwelling construction,"tion No. 475 (Hansard, 3 November 1983, page",both,6907
"before the production of ""The Home Show"".      2360) that the Government was reviewing Aus-","before the production of ""The Home Show"".",2360) that the Government was reviewing Aus-,both,6908
"(3) Yes. ""The Investigators"" has dealt with cases . Political Rights and the Article 14 procedures","(3) Yes. ""The Investigators"" has dealt with cases . Political Rights and the Article 14 procedures",NA,both,6911
relating to the housing industry since the under the International Convention on the Elim-,relating to the housing industry since the under the International Convention on the Elim-,NA,both,6912
"production o( ""The Home Show"" com- ination of all Forms of Racial Discrimination; if","production o( ""The Home Show"" com- ination of all Forms of Racial Discrimination; if",NA,both,6913
"menced.                                             so, what progress has been made with the Gov-",menced.,"so, what progress has been made with the Gov-",both,6914
"(4) Yes. The Sydney edition of ""The 7.30 Re- ernment's review.","(4) Yes. The Sydney edition of ""The 7.30 Re- ernment's review.",NA,both,6915
"port"" did agree to film a story prior to the Dr Blewett-The Minister for Foreign","port"" did agree to film a story prior to the Dr Blewett-The Minister for Foreign",NA,both,6916
Defective Homes. Exhibition featuring the Affairs and Trade has provided the fol-,Defective Homes. Exhibition featuring the Affairs and Trade has provided the fol-,NA,both,6917
defective house of BARG-a private home              lowing answer to the honourable mem-,defective house of BARG-a private home,lowing answer to the honourable mem-,both,6918
with building defects. (a) No. No venue was         ber's question:,with building defects. (a) No. No venue was,ber's question:,both,6919
This occurred because of the unavailability           I am aware of the answer to question No. 475,This occurred because of the unavailability,I am aware of the answer to question No. 475,both,6921
"within the ABC of camera crews and other            of 1983, and confirm that the Government was",within the ABC of camera crews and other,"of 1983, and confirm that the Government was",both,6922
editorial priorities. (c) The reason the event      at that time reviewing Australia's position with,editorial priorities. (c) The reason the event,at that time reviewing Australia's position with,both,6923
was not covered on the day was the different        regard to the Optional Protocol to the Inter-,was not covered on the day was the different,regard to the Optional Protocol to the Inter-,both,6924
sense of news values held by ABC News and           national Covenant on Civil and Political Rights,sense of news values held by ABC News and,national Covenant on Civil and Political Rights,both,6925
"competing priorities on a particularly heavy        (ICCPR), as well as Article 14 of the Inter-",competing priorities on a particularly heavy,"(ICCPR), as well as Article 14 of the Inter-",both,6926
news day at the national and international          national Convention on the Elimination of all,news day at the national and international,national Convention on the Elimination of all,both,6927
levels.                                             Forms of Racial Discrimination (CERD).,levels.,Forms of Racial Discrimination (CERD).,both,6928
"(5) No. The News bulletin on 8 October did not        Since that time, the United Nations has drafted",(5) No. The News bulletin on 8 October did not,"Since that time, the United Nations has drafted",both,6930
refer to the. practices mentioned. This was    and adopted a Second Optional Protocol to the,refer to the. practices mentioned. This was,and adopted a Second Optional Protocol to the,both,6931
"because too many other matters before the      ICCPR against the death penalty, to which Aus-",because too many other matters before the,"ICCPR against the death penalty, to which Aus-",both,6932
Royal Commission on its opening day were       tralia acceded on 2 October 1990. The Optional,Royal Commission on its opening day were,tralia acceded on 2 October 1990. The Optional,both,6933
being mentioned in the News story. That        Protocol referred to in the answer to question,being mentioned in the News story. That,Protocol referred to in the answer to question,both,6934
"night, ABC News was the only News service      No. 475 is now described as the First Optional","night, ABC News was the only News service",No. 475 is now described as the First Optional,both,6935
to report that BARG had been admitted as       Protocol.,to report that BARG had been admitted as,Protocol.,both,6936
"a party to the Royal Commission, and to Since 1983, the Australian Government has","a party to the Royal Commission, and to Since 1983, the Australian Government has",NA,both,6938
show shots of its members gathereli outside undertaken extensive consultations with the State,show shots of its members gathereli outside undertaken extensive consultations with the State,NA,both,6939
the building.                                       and Territory Governments in relation to acces-,the building.,and Territory Governments in relation to acces-,both,6940
"sion to the First Optional Protocol, both individ-          Star Wholesaler's","sion to the First Optional Protocol, both individ-",Star Wholesaler's,both,6943
ually and through the Standing Committee of                 Quenchy Crusta Sales,ually and through the Standing Committee of,Quenchy Crusta Sales,both,6944
Attorneys-General. The prospect of making a                 R.M. Smith and Sons,Attorneys-General. The prospect of making a,R.M. Smith and Sons,both,6945
Declaration under Article 14 of CERD has also               Petrose Enterprises,Declaration under Article 14 of CERD has also,Petrose Enterprises,both,6946
been the subject of such consultations.                     Shoal Valley,been the subject of such consultations.,Shoal Valley,both,6947
The Australian Government remains commit-                 Master's Dairy,The Australian Government remains commit-,Master's Dairy,both,6949
ted to accession to the First Optional Protocol             Ganza Pty Ltd,ted to accession to the First Optional Protocol,Ganza Pty Ltd,both,6950
and to making a Declaration under Article 14 of             Queensland Independent Wholesalers,and to making a Declaration under Article 14 of,Queensland Independent Wholesalers,both,6951
"CERD, and is hopeful that any remaining objec-              Queensland Frozen Food Services","CERD, and is hopeful that any remaining objec-",Queensland Frozen Food Services,both,6952
tions of States and Territories can be dealt with           The Bacon Family Trust,tions of States and Territories can be dealt with,The Bacon Family Trust,both,6953
expeditiously.                                              D. Haralambidis,expeditiously.,D. Haralambidis,both,6954
Any further inquiries as to the 'consultative               T.J. Clarke and Sons,Any further inquiries as to the 'consultative,T.J. Clarke and Sons,both,6956
"process should be directed to my colleague, the             Burns Philp Food Services WA","process should be directed to my colleague, the",Burns Philp Food Services WA,both,6957
Attorney-General.                        '                  Independent Grocers Darwin,Attorney-General.,',both,6958
Australian Defence Force: Fruit Products                    Sara and Cook,Australian Defence Force: Fruit Products,Sara and Cook,both,6960
John Mr   (Question No. 411)                           (b) Dried Fruits,John Mr,(Question No. 411),both,6962
Scott asked the Minister for                      Epic Wright Heaton,Scott asked the Minister for,Epic Wright Heaton,both,6964
"Defence Science and Personnel, upon no-                     Lakeside Distributors","Defence Science and Personnel, upon no-",Lakeside Distributors,both,6965
"tice, on 14 November 1990:                                  T.J. Clarke and Sons","tice, on 14 November 1990:",T.J. Clarke and Sons,both,6966
"(1) Which companies supply the Australian                 , ,Queensland Frozen Food Services",(1) Which companies supply the Australian,", ,Queensland Frozen Food Services",both,6968
Defence Force (ADF) with (a) citrus juices and              Star Wholesalers,Defence Force (ADF) with (a) citrus juices and,Star Wholesalers,both,6969
"concentrates, including orange, lemon, lime and             Shoal Valley","concentrates, including orange, lemon, lime and",Shoal Valley,both,6970
"grapefruit, (b) dried fruits, including apricots, ap-       Burns Philp Food Services WA","grapefruit, (b) dried fruits, including apricots, ap-",Burns Philp Food Services WA,both,6971
"ples, pears,raisins, sultanas and currants, (c) nuts,       Independent Grocers Darwin","ples, pears,raisins, sultanas and currants, (c) nuts,",Independent Grocers Darwin,both,6972
"including almonds, walnuts and peanuts and (d)              Sara and Cook","including almonds, walnuts and peanuts and (d)",Sara and Cook,both,6973
"fresh fruit, including apples, pears, oranges, lem-         Caterer's Market","fresh fruit, including apples, pears, oranges, lem-",Caterer's Market,both,6974
"ons, grapes, strawberries, cherries, pineapples a'nd   (c) Nuts","ons, grapes, strawberries, cherries, pineapples a'nd",(c) Nuts,both,6975
bananas.           '                                        R.M. Smith and Sons,bananas.,',both,6976
(2) What perct;ntage of the produce in each of            Lakeside Distributors,(2) What perct;ntage of the produce in each of,Lakeside Distributors,both,6978
the categories referred to in part (1) is (a) grown         T.J. Clarke and Sons,the categories referred to in part (1) is (a) grown,T.J. Clarke and Sons,both,6979
in Australia and (b) imported and from which                Queensland Independent Wholesalers,in Australia and (b) imported and from which,Queensland Independent Wholesalers,both,6980
countries.                                                  Queensland Frozen Food Services,countries.,Queensland Frozen Food Services,both,6981
"(3) Are companies required to show ,a prefer-             Hong Australian","(3) Are companies required to show ,a prefer-",Hong Australian,both,6983
ence for local growers when tendering to supply             Shoal Valley,ence for local growers when tendering to supply,Shoal Valley,both,6984
"food to the ADF; if not, why not.                           Trumps","food to the ADF; if not, why not.",Trumps,both,6985
(4) What percentage of canned fruit used by               pany,(4) What percentage of canned fruit used by,pany,both,6987
the ADF is of 100 percent Australian content.               Burns Philp Food Services WA,the ADF is of 100 percent Australian content.,Burns Philp Food Services WA,both,6988
(5) Is there a higher level of pesticide residues    (d) Fresh Fruit,(5) Is there a higher level of pesticide residues,(d) Fresh Fruit,both,6990
in imported fruit products than in locally grown            R.J. Goon and Sons,in imported fruit products than in locally grown,R.J. Goon and Sons,both,6991
"products; if so, what measures are being under-             Peter Mockler Produce","products; if so, what measures are being under-",Peter Mockler Produce,both,6992
taken to reduce this level in (a) imported and (b)          Regional Wholesale Fruit Markets ACT,taken to reduce this level in (a) imported and (b),Regional Wholesale Fruit Markets ACT,both,6993
locally grown 'fruit products.                              Combined Direct Fruit Supply,locally grown 'fruit products.,Combined Direct Fruit Supply,both,6994
Mr Bilney--::-The answer to the honour-                   S&J Fruit Supplies,Mr Bilney--::-The answer to the honour-,S&J Fruit Supplies,both,6996
",able member's, question is as follows:                     Waynes Fruit and Vegetables",",able member's, question is as follows:",Waynes Fruit and Vegetables,both,6998
(1) Suppliers of Fruit and Nut Products                     Viva La Fruit,(1) Suppliers of Fruit and Nut Products,Viva La Fruit,both,7000
(a) Citrus Juices and Concentrates:                         Oakey Produce Market,(a) Citrus Juices and Concentrates:,Oakey Produce Market,both,7001
""" Sunburst Regency Foods                                 Goldreef Fruit and Vegetables",""" Sunburst Regency Foods",Goldreef Fruit and Vegetables,both,7003
Berrivale Orchards '                                   Sang and Company,Berrivale Orchards ',Sang and Company,both,7004
Murrumbidgee Dairy Prqducts                            Sunshine Produce Rockhampton,Murrumbidgee Dairy Prqducts,Sunshine Produce Rockhampton,both,7005
Ipswich District Markets                              (3) Preference for Australian Growers,Ipswich District Markets,(3) Preference for Australian Growers,both,7018
"Lambert's Produce                                       At present, ADF tender and contract documen-",Lambert's Produce,"At present, ADF tender and contract documen-",both,7020
"AMJ Produce                                           tati,on do not require preference to be shown for",AMJ Produce,"tati,on do not require preference to be shown for",both,7021
Kollaras Group                                        local growers. Providing a company meets the,Kollaras Group,local growers. Providing a company meets the,both,7022
"Merlino Fruit and Vegetable Wholesalers               ADF Food Specifications, it can be considered.",Merlino Fruit and Vegetable Wholesalers,"ADF Food Specifications, it can be considered.",both,7023
"S.E.R. Pty Ltd                                        However, the Government's preference policy for",S.E.R. Pty Ltd,"However, the Government's preference policy for",both,7024
Sumich Group Ltd                                      Australian and New Zealand goods and Services,Sumich Group Ltd,Australian and New Zealand goods and Services,both,7025
"McGowan, Winnellie                                    ensures that fullest consideration is given to local","McGowan, Winnellie",ensures that fullest consideration is given to local,both,7026
A.E. Tully and Sons                                   products.,A.E. Tully and Sons,products.,both,7027
"Forefruits                                            In addition, companies tendering components",Forefruits,"In addition, companies tendering components",both,7029
Coutts Trading Pty Ltd                                required to indicate the level of Australian con-,Coutts Trading Pty Ltd,required to indicate the level of Australian con-,both,7031
(2) Percentage of Fruit and Nut Products            gramme.,(2) Percentage of Fruit and Nut Products,gramme.,both,7033
The ADF procures most of its foodstuffs from        (4) Australian Content-Canned Fruit,The ADF procures most of its foodstuffs from,(4) Australian Content-Canned Fruit,both,7036
local wholesale or retail outlets in the vicinity of,local wholesale or retail outlets in the vicinity of,NA,both,7037
unit/establishment locations. Records of Austra- All canned fruit consumed by the ADF is pro-,unit/establishment locations. Records of Austra- All canned fruit consumed by the ADF is pro-,NA,both,7038
"lian content are not maintained. However, based cured from Australian' commercial sources. Rec-","lian content are not maintained. However, based cured from Australian' commercial sources. Rec-",NA,both,7039
", on current contracts, estimates of Australian con- ords of the percen.tage Australian content are not",", on current contracts, estimates of Australian con- ords of the percen.tage Australian content are not",NA,both,7040
"tent are given below.                                 maintained. However, estimates based on current",tent are given below.,"maintained. However, estimates based on current",both,7041
"(a) Citrus Juices and Conct<ntrates ,               proximately 95 percent.","(a) Citrus Juices and Conct<ntrates ,",proximately 95 percent.,both,7043
(b) Dried Fruits                                      testing fresh foodstuffs for pesticide residues.,(b) Dried Fruits,testing fresh foodstuffs for pesticide residues.,both,7048
These products are procured from Austra-         Produce purchased in the market place must meet,These products are procured from Austra-,Produce purchased in the market place must meet,both,7049
"lian commercial sources. None are specifi-       the normal regulatory standards, established and",lian commercial sources. None are specifi-,"the normal regulatory standards, established and",both,7050
"cally imported for the ADF, nor are records      monitored by the relevant Government","cally imported for the ADF, nor are records",monitored by the relevant Government,both,7051
of the source of any imports maintained.         authorities.,of the source of any imports maintained.,authorities.,both,7052
items are known to be imported from the            The Department of Primary Industries and En-,items are known to be imported from the,The Department of Primary Industries and En-,both,7054
countries shown:                                 ergy (DPIE) is responsible for administering im-,countries shown:,ergy (DPIE) is responsible for administering im-,both,7055
"(1) Dates: Iran, Pakistan, Turkey.               port inspection requirements and for the National","(1) Dates: Iran, Pakistan, Turkey.",port inspection requirements and for the National,both,7056
.(2) Apricots: Turkey                                 ing programme for chemical residues in a wide,.(2) Apricots: Turkey,ing programme for chemical residues in a wide,both,7058
(3) Mixed Fruit: Iran                                 have provided the following advice:,(3) Mixed Fruit: Iran,have provided the following advice:,both,7060
Approximately 95 percent of dried fruit                 DPIE does not have sufficient information to,Approximately 95 percent of dried fruit,DPIE does not have sufficient information to,both,7062
consumed by the ADF is estimated to be                make a comparison between the levels of pesti-,consumed by the ADF is estimated to be,make a comparison between the levels of pesti-,both,7063
produced in Australia.                                cide residues in imported and domestic fruit,produced in Australia.,cide residues in imported and domestic fruit,both,7064
(c) Nuts                                              testing is a very expensive business and the cost,(c) Nuts,testing is a very expensive business and the cost,both,7066
"As with dried fruits, nuts are procured of testing for residues in all commodity and","As with dried fruits, nuts are procured of testing for residues in all commodity and",NA,both,7067
from Australian commercial sources and chemical combinations would be prohibitive. This,from Australian commercial sources and chemical combinations would be prohibitive. This,NA,both,7068
"records of the source of any imports are , means that the various coinmodity and chemical","records of the source of any imports are , means that the various coinmodity and chemical",NA,both,7069
"not maintained. However, small quantities combinations are prioritised for inclusion in","not maintained. However, small quantities combinations are prioritised for inclusion in",NA,both,7070
of the following items are kno~n to be monitoring programmes.,of the following items are kno~n to be monitoring programmes.,NA,both,7071
"(1) Walnuts: USA, China                                 Imported food inspection includes a pro-","(1) Walnuts: USA, China",Imported food inspection includes a pro-,both,7073
"(2) Cashews: USA, China, India                        gramme for monitoring pesticides in what are","(2) Cashews: USA, China, India",gramme for monitoring pesticides in what are,both,7074
"(3) Almonds: USA, Canada                              considered to be high risk products. This pro-","(3) Almonds: USA, Canada",considered to be high risk products. This pro-,both,7075
(4) Pistachio: USA.                                   gramme is operated by the Australian Quarantine,(4) Pistachio: USA.,gramme is operated by the Australian Quarantine,both,7076
"Approximately 90 percent of nuts con-                 and Inspection Service. At present, the only mon-",Approximately 90 percent of nuts con-,"and Inspection Service. At present, the only mon-",both,7077
sumed by the ADF are produced in Aus-                 itoring proposed for residues in imported fruit is,sumed by the ADF are produced in Aus-,itoring proposed for residues in imported fruit is,both,7078
tralia.                                               for captan in imported strawberries. Determina-,tralia.,for captan in imported strawberries. Determina-,both,7079
(d) Fresh Fruit                                       binations is undertaken by an expert committee.,(d) Fresh Fruit,binations is undertaken by an expert committee.,both,7081
Virtually 100 percent of fresh fruit con-             level of monitoring of pesticides in fruit in the,Virtually 100 percent of fresh fruit con-,level of monitoring of pesticides in fruit in the,both,7083
sumed by the ADF is grown in Australia.               immediate future.,sumed by the ADF is grown in Australia.,immediate future.,both,7084
"quantities of strawberries, kiwifruit and The National Residue Survey does not cur-","quantities of strawberries, kiwifruit and The National Residue Survey does not cur-",NA,both,7086
lemons are imported from New Zealand rently include imported products. It has tradi-,lemons are imported from New Zealand rently include imported products. It has tradi-,NA,both,7087
and the USA.                                          tionally been an export based programm'e;,and the USA.,tionally been an export based programm'e;,both,7088
"however, it is being expanded to include domes-          (2) (a) In the Government's view the ANC is","however, it is being expanded to include domes-",(2) (a) In the Government's view the ANC is,both,7091
"tic production. As part of this expansion, consid-     not merely a political party but is a major partner","tic production. As part of this expansion, consid-",not merely a political party but is a major partner,both,7092
"eration is being given to the inclusion of imported    in the political process currently, underway in",eration is being given to the inclusion of imported,"in the political process currently, underway in",both,7093
products. The National Residue Survey includes         South Africa. At the same time it ha~ no right to,products. The National Residue Survey includes,South Africa. At the same time it ha~ no right to,both,7094
monitoring of pesticides in citrus fruits but does     contest elections and it has no formal status within,monitoring of pesticides in citrus fruits but does,contest elections and it has no formal status within,both,7095
'not include juices or concentrates. DPIE is una-      the existing political structures in South Africa.,'not include juices or concentrates. DPIE is una-,the existing political structures in South Africa.,both,7096
ware of any State or Territory programme specif-,ware of any State or Territory programme specif-,NA,both,7097
ically for monitoring residues of pesticides in        (b) Because it has riot had the opportunity to,ically for monitoring residues of pesticides in,(b) Because it has riot had the opportunity to,both,7098
"fruit juices or concentrates.                          test its popularity at an election, the full extent",fruit juices or concentrates.,"test its popularity at an election, the full extent",both,7099
"A range of regulatory and educational measures      however, regards the ANC as being foremost",A range of regulatory and educational measures,"however, regards the ANC as being foremost",both,7101
is being undertaken by the States and Territories      amongst black political movements in South Af-,is being undertaken by the States and Territories,amongst black political movements in South Af-,both,7102
"to reduce the presence of pesticide residues in        rica, although we have refrained,from recognising",to reduce the presence of pesticide residues in,"rica, although we have refrained,from recognising",both,7103
locally produced products. It should be noted          it as the sole authentic representative of the black,locally produced products. It should be noted,it as the sole authentic representative of the black,both,7104
that legislative responsibility for use of pesticides  populatio!l.  ',that legislative responsibility for use of pesticides,populatio!l.,both,7105
"that the Commonwealth government has strongly            (c) The ANC is part of a bro,ad alliance which",that the Commonwealth government has strongly,"(c) The ANC is part of a bro,ad alliance which",both,7107
advocated measures to minimise residues in food        includes not only the South African Communist,advocated measures to minimise residues in food,includes not only the South African Communist,both,7108
through the various coordinating mechanisms            Party but also the United Democratic Front and,through the various coordinating mechanisms,Party but also the United Democratic Front and,both,7109
available to it.                                       the Council of South African Trade Unions. All,available to it.,the Council of South African Trade Unions. All,both,7110
"In the, international context, the Australian       to dismantling apartheid. However, I am advised","In the, international context, the Australian","to dismantling apartheid. However, I am advised",both,7112
Gov.ernment strongly supports the acceptance of        that there are no formal links between the ANC,Gov.ernment strongly supports the acceptance of,that there are no formal links between the ANC,both,7113
internationally agreed standards for pesticide res-    and the South African Communist Party.,internationally agreed standards for pesticide res-,and the South African Communist Party.,both,7114
idues. Australia participates in the development,idues. Australia participates in the development,NA,both,7115
of the standards recommended by the Codex Al-            (3) The Government's program for visitors,of the standards recommended by the Codex Al-,(3) The Government's program for visitors,both,7116
imentarious Commission. The monitoring of high         from South Africa is directed towards prominent,imentarious Commission. The monitoring of high,from South Africa is directed towards prominent,both,7117
risk products for chemical residues in the import      and authentic representatives of the oppressed,risk products for chemical residues in the import,and authentic representatives of the oppressed,both,7118
inspection programme and the proposed inclu-           majority. The South African Government is al-,inspection programme and the proposed inclu-,majority. The South African Government is al-,both,7119
sion of imported products in the National Resi-        ready amply represented in Australia by the South,sion of imported products in the National Resi-,ready amply represented in Australia by the South,both,7120
due Survey are other measures aimed at reducing        African Embassy. The Government has never op-,due Survey are other measures aimed at reducing,African Embassy. The Government has never op-,both,7121
the likelihood of pesticide residues in imported       posed a private visit to Australia by Chief Buth-,the likelihood of pesticide residues in imported,posed a private visit to Australia by Chief Buth-,both,7122
"products.                                              elezi, who works within the ex~sting political",products.,"elezi, who works within the ex~sting political",both,7123
Mr Nelson Ma~dela                                      Commission on Human Rights,Mr Nelson Ma~dela,Commission on Human Rights,both,7126
(Question No. 412)                                                   (Question No. 439),(Question No. 412),(Question No. 439),both,7128
"Mr Taylor asked the Prime Minister,                    Mr Hollis asked the Minister represent-","Mr Taylor asked the Prime Minister,",Mr Hollis asked the Minister represent-,both,7130
"upon notice, on 14 November 1990:                      ing the Minister for Foreign Affairs and","upon notice, on 14 November 1990:",ing the Minister for Foreign Affairs and,both,7131
"National Congress (ANC), accorded head of state          At what level will Australia, be represented at","National Congress (ANC), accorded head of state","At what level will Australia, be represented at",both,7134
